Fecha,Ventas,Precio_Unitario,Promo,dia_semana,mes
2024-04-02,18382412,18382412.08,0.0,1,4
2024-04-03,2093944475,15626451.31,1.0,2,4
2024-04-04,2852218964,15671532.77,1.0,3,4
2024-04-05,266544973,16659060.78,0.0,4,4
2024-04-06,143566639,17945829.84,0.0,5,4
2024-04-07,0,16847073.03,0.0,6,4
2024-04-08,1433096776,15748316.22,0.0,0,4
2024-04-09,1102964448,15756634.97,1.0,1,4
2024-04-10,2711781299,15675036.41,1.0,2,4
2024-04-11,1821149493,16260263.33,0.0,3,4
2024-04-12,2148735918,15916562.36,0.0,4,4
2024-04-13,73529648,18382412.08,0.0,5,4
2024-04-14,0,18382412.08,0.0,6,4
2024-04-15,55147236,18382412.08,0.0,0,4
2024-04-16,4801485977,15742576.98,1.0,1,4
2024-04-17,421324881,16204803.11,0.0,2,4
2024-04-18,2927774628,15911818.63,0.0,3,4
2024-04-19,2191007572,15876866.47,0.0,4,4
2024-04-20,1343754304,15625050.05,1.0,5,4
2024-04-21,0,15780394.4,0.0,6,4
2024-04-22,1131437452,15935738.76,0.0,0,4
2024-04-23,2696887593,16052902.34,0.0,1,4
2024-04-24,1885116341,15975562.21,0.0,2,4
2024-04-25,3325566083,15836028.97,0.0,3,4
2024-04-26,1988617209,15908937.67,0.0,4,4
2024-04-27,4407371007,15684594.33,1.0,5,4
2024-04-28,0,15735390.18,0.0,6,4
2024-04-29,2541575950,15786186.02,1.0,0,4
2024-04-30,5144505729,15684468.68,1.0,1,4
2024-05-01,0,17033440.38,0.0,2,5
2024-05-02,110294473,18382412.08,0.0,3,5
2024-05-03,1821153435,15699598.58,1.0,4,5
2024-05-04,2800204630,15643601.29,1.0,5,5
2024-05-05,0,15672342.31,0.0,6,5
2024-05-06,2355162501,15701083.34,1.0,0,5
2024-05-07,362133513,15744935.37,1.0,1,5
2024-05-08,2272437713,16231697.95,0.0,2,5
2024-05-09,2155337784,15848071.94,0.0,3,5
2024-05-10,2502409565,15838035.22,0.0,4,5
2024-05-11,2984947874,15877382.31,0.0,5,5
2024-05-12,0,15861033.15,0.0,6,5
2024-05-13,0,15844683.99,0.0,0,5
2024-05-14,1946885184,15828334.83,0.0,1,5
2024-05-15,1885216152,15842152.54,0.0,2,5
2024-05-16,897980821,16326924.01,0.0,3,5
2024-05-17,400185112,18190232.37,0.0,4,5
2024-05-18,2274655427,15687278.81,1.0,5,5
2024-05-19,0,15792249.67,0.0,6,5
2024-05-20,1621516495,15897220.53,0.0,0,5
2024-05-21,1297982102,16024470.39,0.0,1,5
2024-05-22,2620412809,15978126.89,0.0,2,5
2024-05-23,2747271200,15788914.94,0.0,3,5
2024-05-24,3695052558,15790822.9,0.0,4,5
2024-05-25,2476294705,15672751.3,1.0,5,5
2024-05-26,0,15744744.82,0.0,6,5
2024-05-27,2957730071,15816738.35,0.0,0,5
2024-05-28,2852218974,15934184.21,0.0,1,5
2024-05-29,3181260203,16066970.72,0.0,2,5
2024-05-30,2190096340,15870263.33,0.0,3,5
2024-05-31,5433848852,15842124.93,0.0,4,5
2024-06-01,55147236,18382412.08,0.0,5,6
2024-06-02,0,17518830.07,0.0,6,6
2024-06-03,0,16655248.05,0.0,0,6
2024-06-04,1342291613,15791666.04,0.0,1,6
2024-06-05,2819150365,15661946.47,1.0,2,6
2024-06-06,1251842248,16049259.59,0.0,3,6
2024-06-07,1875925127,15764076.69,1.0,4,6
2024-06-08,110294473,18382412.08,0.0,5,6
2024-06-09,0,17525849.36,0.0,6,6
2024-06-10,0,16669286.64,0.0,0,6
2024-06-11,3020230268,15812723.92,0.0,1,6
2024-06-12,2235301278,15741558.3,1.0,2,6
2024-06-13,3098355525,15807936.35,0.0,3,6
2024-06-14,3766384203,15891916.47,0.0,4,6
2024-06-15,2728904569,15774014.85,1.0,5,6
2024-06-16,0,16008513.94,0.0,6,6
2024-06-17,584748469,16243013.03,0.0,0,6
2024-06-18,332721657,17511666.16,0.0,1,6
2024-06-19,2090080232,15833941.15,0.0,2,6
2024-06-20,2340456566,15813895.71,0.0,3,6
2024-06-21,2399823871,15788314.94,0.0,4,6
2024-06-22,2369680669,15903897.1,0.0,5,6
2024-06-23,0,15897894.34,0.0,6,6
2024-06-24,1970594555,15891891.57,0.0,0,6
2024-06-25,2389901312,15827161.01,0.0,1,6
2024-06-26,1840998554,16008683.08,0.0,2,6
2024-06-27,3573916409,15884072.93,0.0,3,6
2024-06-28,3412882546,15948049.28,0.0,4,6
2024-06-29,2998171377,15947720.09,0.0,5,6
2024-06-30,1125003603,15625050.04,1.0,6,6
2024-07-01,0,17003731.06,0.0,0,7
2024-07-02,91912060,18382412.08,0.0,1,7
2024-07-03,86397336,17279467.25,0.0,2,7
2024-07-04,1089533446,15790339.79,0.0,3,7
2024-07-05,914900531,15774147.09,0.0,4,7
2024-07-06,70772286,17693071.56,0.0,5,7
2024-07-07,0,16748580.11,0.0,6,7
2024-07-08,2402221476,15804088.66,0.0,0,7
2024-07-09,2697802757,15684899.75,1.0,1,7
